var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,subject
1,0.18997999999999998,0.17424,0.33871,0.19535,0.17933,0.2083,0.20642,0.17219,0.24211999999999997,0.18075,0.40536,0.23364000000000001,0.20868,0.17454,0.18170999999999998,0.17856,0.1801,0.18374000000000001,0.17842,0.17515999999999998,1
2,0.24934,0.24428000000000002,0.35385,0.24158000000000002,0.24749000000000002,0.2676,0.2392,0.22305,0.33118000000000003,0.24538000000000001,0.44303000000000003,0.33466999999999997,0.27765,0.25001,0.2262,0.22546999999999998,0.21873,0.21819000000000002,0.23947,0.25337,1
3,0.30533000000000005,0.31924,0.36274,0.28706,0.3073,0.32502,0.29689,0.27988,0.40476999999999996,0.29924,0.47413999999999995,0.41741999999999996,0.34534000000000004,0.32322,0.26791,0.27974,0.25451,0.26023,0.30428,0.31011,1
4,0.34686,0.38392,0.37008,0.31353000000000003,0.35508,0.36464,0.35017,0.33274000000000004,0.46926,0.33489,0.49132,0.44938999999999996,0.39341,0.3741,0.30453,0.32779,0.28526999999999997,0.29100000000000004,0.35727,0.35658,1
5,0.3852,0.41566000000000003,0.38235,0.33537,0.38736,0.39264,0.3967,0.37784,0.49878999999999996,0.36022,0.50142,0.4551,0.4316,0.41773000000000005,0.34703,0.36703,0.31401999999999997,0.31436,0.39601,0.38015,1
6,0.41897,0.41372,0.39778,0.36474,0.40968999999999994,0.41246000000000005,0.42808999999999997,0.40381999999999996,0.51395,0.38295999999999997,0.5073,0.48053999999999997,0.46498,0.4636,0.39237,0.40016999999999997,0.33819,0.33355,0.41867,0.39427,1
7,0.44691000000000003,0.40497,0.41633000000000003,0.39848,0.4219,0.4301,0.44247,0.41927,0.53268,0.40487,0.5183300000000001,0.51667,0.47867,0.50884,0.42945,0.43367,0.35477,0.35214,0.43368999999999996,0.39888,1
8,0.46412,0.40044,0.43613999999999997,0.42818999999999996,0.42958,0.44618,0.45324,0.42954,0.52825,0.42108,0.52046,0.51905,0.47551000000000004,0.54172,0.45276000000000005,0.46876999999999996,0.3661,0.36536,0.45652,0.42875,1
9,0.46676999999999996,0.38625,0.45751000000000003,0.44806,0.43628,0.45987,0.4727,0.43313999999999997,0.49228,0.4398,0.5208,0.50689,0.46346000000000004,0.55561,0.46813,0.50668,0.37205,0.37276,0.4849,0.49728,1
10,0.46818999999999994,0.37669,0.47784,0.4605,0.44206000000000006,0.46978000000000003,0.49104,0.42033000000000004,0.44246,0.46042,0.53093,0.49938999999999995,0.44301,0.5547,0.46128,0.53837,0.37413,0.37958000000000003,0.51608,0.56212,1
11,0.46542,0.3784,0.49006000000000005,0.45937,0.45075,0.47362,0.49988,0.39021,0.39848,0.47206000000000004,0.54255,0.49301999999999996,0.43038000000000004,0.5442,0.45266999999999996,0.5542199999999999,0.36627,0.38659,0.54356,0.60726,1
12,0.45707,0.38777,0.48932,0.44505,0.46463000000000004,0.47545,0.5031100000000001,0.35534,0.3938,0.47465,0.55456,0.47118999999999994,0.43218,0.52596,0.46192,0.55412,0.35226,0.38961999999999997,0.56902,0.63318,1
13,0.44278,0.3955,0.48091999999999996,0.42583000000000004,0.47778000000000004,0.48022,0.4921,0.32869,0.42552,0.47289,0.56947,0.45125,0.44301,0.50126,0.48168,0.5418,0.33826999999999996,0.38758000000000004,0.58945,0.63727,1
14,0.43041,0.39945,0.47434,0.40585,0.49407,0.48711000000000004,0.47068999999999994,0.33339,0.47786999999999996,0.46331000000000006,0.58092,0.4452,0.45587,0.4705,0.50143,0.5218,0.3295,0.38093,0.60582,0.62316,1
15,0.42748,0.40771,0.47605,0.3919,0.51186,0.491,0.44378,0.37706,0.51378,0.4505,0.5947600000000001,0.44427,0.46826999999999996,0.43033999999999994,0.51876,0.501,0.32583,0.37511,0.60769,0.59855,1
16,0.42908,0.41691000000000006,0.48807,0.38841,0.52212,0.49673999999999996,0.42625,0.44205,0.5165,0.43892,0.6108899999999999,0.45641000000000004,0.47625,0.40410999999999997,0.5222899999999999,0.48494,0.33335,0.37493000000000004,0.59825,0.5686899999999999,1
17,0.43428,0.42415,0.5069899999999999,0.39175,0.52553,0.5034,0.42504,0.50546,0.49513999999999997,0.42936,0.6279,0.48031999999999997,0.48323,0.39844,0.52365,0.47597,0.34342,0.37531,0.57752,0.53187,1
18,0.44358000000000003,0.42751999999999996,0.53323,0.40891,0.5212600000000001,0.50995,0.43793000000000004,0.56281,0.45747,0.42186,0.64842,0.51812,0.49518999999999996,0.40186,0.52065,0.47025,0.34613,0.37109000000000003,0.55096,0.50676,1
