AD,nodeID,subjectID,tractID,MD,RD_Avg,MD_Avg,RD,AD_Avg,FA_Avg,FA
0.00151497,7,elmo.2008,rh.cab_PP,0.0008203860000000001,0.000562986,0.000821872,0.000473091,0.00133964,0.516249,0.648875
0.00131767,8,elmo.2008,rh.cab_PP,0.000951563,0.000566502,0.0008248719999999999,0.0007685089999999999,0.00134161,0.520047,0.40032199999999996
0.00162475,9,elmo.2008,rh.cab_PP,0.00107344,0.000591266,0.00084519,0.000797796,0.00135303,0.511393,0.442083
0.00142881,10,elmo.2008,rh.cab_PP,0.000643825,0.000583314,0.00083333,0.000251336,0.00133335,0.5143979999999999,0.8095060000000001
0.00140066,11,elmo.2008,rh.cab_PP,0.0005216730000000001,0.000528311,0.000778193,8.217959999999999e-05,0.00127796,0.548163,0.9329379999999999
0.00126654,12,elmo.2008,rh.cab_PP,0.000663475,0.000529626,0.000756347,0.00036194300000000004,0.00120979,0.5311670000000001,0.668628
0.00129587,13,elmo.2008,rh.cab_PP,0.000667288,0.000512793,0.000736279,0.00035299800000000004,0.00118326,0.533564,0.699654
0.00125346,14,elmo.2008,rh.cab_PP,0.000597054,0.000484636,0.000727674,0.00026885099999999996,0.00121375,0.556721,0.773308
0.00118759,15,elmo.2008,rh.cab_PP,0.00052978,0.000447093,0.0007214480000000001,0.000200877,0.00127016,0.592654,0.8181689999999999
0.00131456,16,elmo.2008,rh.cab_PP,0.000560119,0.000391291,0.0006984,0.000182902,0.00131261,0.636943,0.845274
0.00102961,17,elmo.2008,rh.cab_PP,0.0005779590000000001,0.000462124,0.000708819,0.00035213199999999996,0.00120222,0.53757,0.5865819999999999
0.0013182,18,elmo.2008,rh.cab_PP,0.000741856,0.000489987,0.000727132,0.000453684,0.00120143,0.517414,0.603287
0.00132531,19,elmo.2008,rh.cab_PP,0.0008260539999999999,0.000524734,0.00077176,0.000576428,0.00126581,0.5149189999999999,0.490029
0.00126059,20,elmo.2008,rh.cab_PP,0.0008010469999999999,0.000599249,0.0008509419999999999,0.000571276,0.00135432,0.481875,0.46289399999999997
0.00104139,21,elmo.2008,rh.cab_PP,0.000729018,0.000572145,0.000801803,0.000572832,0.00126112,0.471418,0.34324
0.000997377,22,elmo.2008,rh.cab_PP,0.000618259,0.000515144,0.000730284,0.0004287,0.00116057,0.483455,0.4704
0.00118258,23,elmo.2008,rh.cab_PP,0.000611158,0.000506314,0.0007259780000000001,0.000325448,0.0011653,0.48930100000000004,0.6887800000000001
0.00128711,24,elmo.2008,rh.cab_PP,0.0007652039999999999,0.0005175959999999999,0.000742497,0.000504254,0.00119229,0.488796,0.551709
0.00147179,25,elmo.2008,rh.cab_PP,0.0008879039999999999,0.000509317,0.0007486169999999999,0.000595962,0.00122723,0.514408,0.5244
0.00153831,26,elmo.2008,rh.cab_PP,0.000859866,0.000510917,0.000770403,0.000520643,0.00128938,0.537686,0.603949
0.00131657,27,elmo.2008,rh.cab_PP,0.000750546,0.00052214,0.000776196,0.000467535,0.0012843,0.5256569999999999,0.5896600000000001
0.00133231,28,elmo.2008,rh.cab_PP,0.0007733060000000001,0.0005308930000000001,0.000771832,0.000493803,0.00125371,0.507895,0.559897
0.0012604,29,elmo.2008,rh.cab_PP,0.000713533,0.0005195530000000001,0.000758109,0.000440099,0.00123522,0.512939,0.575721
0.00147761,30,elmo.2008,rh.cab_PP,0.0007236810000000001,0.000493135,0.00073442,0.000346716,0.001217,0.531475,0.7357779999999999
0.00124217,31,elmo.2008,rh.cab_PP,0.000797416,0.00050269,0.0007254669999999999,0.0005750390000000001,0.00117102,0.50653,0.45464
0.00135684,32,elmo.2008,rh.cab_PP,0.000824073,0.0005111580000000001,0.000727702,0.0005576930000000001,0.00116077,0.49995,0.51245
0.00129563,33,elmo.2008,rh.cab_PP,0.00091704,0.000591058,0.000786263,0.0007277480000000001,0.00117666,0.43409899999999996,0.353734
0.00107323,34,elmo.2008,rh.cab_PP,0.00078257,0.000658728,0.0008184739999999999,0.000637238,0.00113796,0.356743,0.413968
0.000898681,35,elmo.2008,rh.cab_PP,0.0007029889999999999,0.0006755660000000001,0.000828117,0.0006051419999999999,0.00113321,0.340442,0.290252
0.00105033,36,elmo.2008,rh.cab_PP,0.000901172,0.0007021530000000001,0.0008474789999999999,0.000826595,0.00113813,0.314479,0.170209
,0,elmo.2012,rh.cab_PP,,,,,,,
,1,elmo.2012,rh.cab_PP,,,,,,,
,2,elmo.2012,rh.cab_PP,,,,,,,
,3,elmo.2012,rh.cab_PP,,,,,,,
,4,elmo.2012,rh.cab_PP,,,,,,,
,5,elmo.2012,rh.cab_PP,,,,,,,
0.00143947,6,elmo.2012,rh.cab_PP,0.0008795239999999999,0.000595708,0.0008038569999999999,0.000599549,0.00122015,0.463114,0.527659
0.00114757,7,elmo.2012,rh.cab_PP,0.0006579169999999999,0.000591765,0.0007957839999999999,0.00041308800000000004,0.00120382,0.462214,0.583338
0.00112454,8,elmo.2012,rh.cab_PP,0.000693452,0.000577219,0.0007769910000000001,0.000477909,0.00117653,0.46916,0.523424
0.00137313,9,elmo.2012,rh.cab_PP,0.000819799,0.00055737,0.000755943,0.000543132,0.00115309,0.486282,0.544287
0.0013008,10,elmo.2012,rh.cab_PP,0.000710083,0.000523709,0.0007221189999999999,0.000414724,0.00111895,0.513968,0.644931
0.0012711999999999999,11,elmo.2012,rh.cab_PP,0.000871264,0.0005350919999999999,0.000729327,0.000671295,0.0011178,0.498357,0.413009
0.00112943,12,elmo.2012,rh.cab_PP,0.000651319,0.000512194,0.000708933,0.00041226699999999996,0.00110241,0.508188,0.617959
0.00102491,13,elmo.2012,rh.cab_PP,0.000674435,0.000515129,0.000715897,0.000499199,0.00111743,0.506049,0.47595699999999996
0.00115291,14,elmo.2012,rh.cab_PP,0.000760904,0.000494374,0.000704187,0.0005649030000000001,0.00112381,0.523687,0.43541599999999997
0.0012663,15,elmo.2012,rh.cab_PP,0.000699755,0.000469629,0.000690254,0.000416482,0.0011315,0.537567,0.612939
0.00111898,16,elmo.2012,rh.cab_PP,0.0006337690000000001,0.000478329,0.0006956260000000001,0.00039116300000000004,0.00113021,0.5185850000000001,0.59495
0.0008803010000000001,17,elmo.2012,rh.cab_PP,0.0004916909999999999,0.00046951199999999995,0.0006668430000000001,0.00029738599999999996,0.00106148,0.5073989999999999,0.617495
0.00120203,18,elmo.2012,rh.cab_PP,0.0007059610000000001,0.000457405,0.0006535369999999999,0.000457924,0.00104579,0.52008,0.552162
