tract,subject,pos,FA
2.0,1.0,32.0,0.35495
2.0,1.0,33.0,0.36214
2.0,1.0,34.0,0.36698
2.0,1.0,35.0,0.37301
2.0,1.0,36.0,0.37776
2.0,1.0,37.0,0.37941
2.0,1.0,38.0,0.37756
2.0,1.0,39.0,0.37264
2.0,1.0,40.0,0.36672
2.0,1.0,41.0,0.36034
2.0,1.0,42.0,0.35867
2.0,1.0,43.0,0.36196
2.0,1.0,44.0,0.36563
2.0,1.0,45.0,0.36754
2.0,1.0,46.0,0.37233
2.0,1.0,47.0,0.37979
2.0,1.0,48.0,0.39068
2.0,1.0,49.0,0.4041
2.0,1.0,50.0,0.41886
2.0,1.0,51.0,0.43366
2.0,1.0,52.0,0.44677
2.0,1.0,53.0,0.4603
2.0,1.0,54.0,0.4719
2.0,1.0,55.0,0.47846
2.0,1.0,56.0,0.48108
2.0,1.0,57.0,0.48247
2.0,1.0,58.0,0.48684
2.0,1.0,59.0,0.49195
2.0,1.0,60.0,0.49763
2.0,1.0,61.0,0.5035
2.0,1.0,62.0,0.50811
2.0,1.0,63.0,0.51277
2.0,1.0,64.0,0.51525
2.0,1.0,65.0,0.51611
2.0,1.0,66.0,0.50995
2.0,1.0,67.0,0.4973
2.0,1.0,68.0,0.48938
2.0,1.0,69.0,0.48471
2.0,1.0,70.0,0.48974
2.0,1.0,71.0,0.50382
2.0,1.0,72.0,0.51833
2.0,1.0,73.0,0.52788
2.0,1.0,74.0,0.53035
2.0,1.0,75.0,0.53352
2.0,1.0,76.0,0.53252
2.0,1.0,77.0,0.5272
2.0,1.0,78.0,0.52264
2.0,1.0,79.0,0.51721
2.0,1.0,80.0,0.50881
2.0,1.0,81.0,0.49802
2.0,1.0,82.0,0.48908
2.0,1.0,83.0,0.47576
2.0,1.0,84.0,0.463
2.0,1.0,85.0,0.45441
2.0,1.0,86.0,0.44964
2.0,1.0,87.0,0.44429
2.0,1.0,88.0,0.43992
2.0,1.0,89.0,0.4362
2.0,1.0,90.0,0.43226
2.0,1.0,91.0,0.42488
2.0,1.0,92.0,0.42056
2.0,1.0,93.0,0.41038
2.0,1.0,94.0,0.39408
2.0,1.0,95.0,0.3719
2.0,1.0,96.0,0.34781
2.0,1.0,97.0,0.32479
2.0,1.0,98.0,0.29523
2.0,1.0,99.0,0.25656
2.0,1.0,100.0,0.21926
3.0,1.0,1.0,0.33871
3.0,1.0,2.0,0.35385
3.0,1.0,3.0,0.36274
3.0,1.0,4.0,0.37008
3.0,1.0,5.0,0.38235
3.0,1.0,6.0,0.39778
3.0,1.0,7.0,0.41633
3.0,1.0,8.0,0.43614
3.0,1.0,9.0,0.45751
3.0,1.0,10.0,0.47784
3.0,1.0,11.0,0.49006
3.0,1.0,12.0,0.48932
3.0,1.0,13.0,0.48092
3.0,1.0,14.0,0.47434
3.0,1.0,15.0,0.47605
3.0,1.0,16.0,0.48807
3.0,1.0,17.0,0.50699
3.0,1.0,18.0,0.53323
3.0,1.0,19.0,0.55663
3.0,1.0,20.0,0.56787
3.0,1.0,21.0,0.57144
3.0,1.0,22.0,0.57938
3.0,1.0,23.0,0.58961
3.0,1.0,24.0,0.5978
3.0,1.0,25.0,0.60393
3.0,1.0,26.0,0.61232
3.0,1.0,27.0,0.62175
3.0,1.0,28.0,0.63344
3.0,1.0,29.0,0.64489
3.0,1.0,30.0,0.65578
3.0,1.0,31.0,0.66654
3.0,1.0,32.0,0.67765
3.0,1.0,33.0,0.68495
3.0,1.0,34.0,0.68929
3.0,1.0,35.0,0.6894
3.0,1.0,36.0,0.68848
3.0,1.0,37.0,0.68876
3.0,1.0,38.0,0.68973
3.0,1.0,39.0,0.69061
3.0,1.0,40.0,0.69259
3.0,1.0,41.0,0.69546
3.0,1.0,42.0,0.69507
3.0,1.0,43.0,0.68821
3.0,1.0,44.0,0.67372
3.0,1.0,45.0,0.65508
3.0,1.0,46.0,0.63433
3.0,1.0,47.0,0.61599
3.0,1.0,48.0,0.60021
3.0,1.0,49.0,0.58497
3.0,1.0,50.0,0.56751
3.0,1.0,51.0,0.54694
3.0,1.0,52.0,0.52475
3.0,1.0,53.0,0.50231
3.0,1.0,54.0,0.47977
3.0,1.0,55.0,0.45824
3.0,1.0,56.0,0.43817
3.0,1.0,57.0,0.42175
3.0,1.0,58.0,0.41099
3.0,1.0,59.0,0.40492
3.0,1.0,60.0,0.40152
3.0,1.0,61.0,0.39958
3.0,1.0,62.0,0.3986
3.0,1.0,63.0,0.39623
3.0,1.0,64.0,0.39454
3.0,1.0,65.0,0.3951
3.0,1.0,66.0,0.3999
3.0,1.0,67.0,0.40673
3.0,1.0,68.0,0.4144
3.0,1.0,69.0,0.42405
3.0,1.0,70.0,0.4354
3.0,1.0,71.0,0.44787
