subjectID,tractID,nodeID,volume,md,ad,cl,curvature,rd,fa,torsion
patient_01,Left Thalamic Radiation,0,70.0,0.851832238472,1.32881641081,0.257362347644,0.137844420148,0.613340152305,0.452992212069,-0.0658564789371
patient_01,Left Thalamic Radiation,1,60.0,0.848954570776,1.32445626216,0.25665220431,0.153220374808,0.611203725086,0.453549386087,-0.0878933217108
patient_01,Left Thalamic Radiation,2,76.0,0.843153983023,1.31310527366,0.254787478281,0.0926220364799,0.608178337705,0.452348740279,-0.244466117311
patient_01,Left Thalamic Radiation,3,55.0,0.837167641497,1.30187299577,0.253062359989,0.0274429921629,0.604814964361,0.451470781077,-0.533194020871
patient_01,Left Thalamic Radiation,4,71.0,0.831443660011,1.29231865767,0.251759250216,0.0478760679059,0.601006161182,0.451725565899,0.272116880904
patient_01,Left Thalamic Radiation,5,58.0,0.82544831304,1.28073668443,0.24947076642,0.0671335180965,0.597804127345,0.450597861823,0.164814552299
patient_01,Left Thalamic Radiation,6,65.0,0.818559059425,1.26466319857,0.246284609596,0.0468701637339,0.59550698985,0.446340924033,0.274384499822
patient_01,Left Thalamic Radiation,7,59.0,0.811196445723,1.24731112567,0.243358409284,0.0218024730306,0.593139105749,0.441266190536,0.389738521645
patient_01,Left Thalamic Radiation,8,69.0,0.803734244177,1.23160292384,0.241490767066,0.00315439293744,0.589799904345,0.437566511011,12.8370562837
patient_01,Left Thalamic Radiation,9,64.0,0.796682118551,1.21874368948,0.240906999288,0.0628165626407,0.585651333088,0.435507751076,-0.125985896775
patient_01,Left Thalamic Radiation,10,63.0,0.79130419521,1.20952536414,0.240902455427,0.137054345348,0.582193610746,0.434071897386,-0.0856319806595
patient_01,Left Thalamic Radiation,11,67.0,0.787907119915,1.20387346589,0.240884879121,0.145123352775,0.579923946925,0.433133199608,-0.0244462060484
patient_01,Left Thalamic Radiation,12,65.0,0.784831265978,1.19963835482,0.241173312696,0.122217478923,0.577427721559,0.433187269894,0.13687815794
patient_01,Left Thalamic Radiation,13,74.0,0.782496823255,1.19705673621,0.241756599709,0.121990370763,0.575216866778,0.433758608208,0.160361657392
patient_01,Left Thalamic Radiation,14,66.0,0.782450915826,1.19701659483,0.242330724697,0.121544754599,0.575168076323,0.433254218191,0.0982433593721
patient_01,Left Thalamic Radiation,15,65.0,0.784942161763,1.19956427784,0.243084596544,0.0950067743922,0.577631103723,0.431392432581,0.169281878788
patient_01,Left Thalamic Radiation,16,67.0,0.788516256705,1.20467624648,0.244365546552,0.0610681046134,0.580436261815,0.430579721205,0.390241208225
patient_01,Left Thalamic Radiation,17,71.0,0.791893356491,1.21235589856,0.247013049495,0.0493967942764,0.581662085456,0.432449659467,0.21061074282
patient_01,Left Thalamic Radiation,18,66.0,0.793508700026,1.21905576849,0.250285382855,0.0606540606465,0.580735165792,0.435753048284,-0.047095001633
patient_01,Left Thalamic Radiation,19,68.0,0.793123561353,1.22172763358,0.252233863994,0.0808512513995,0.578821525237,0.438281033386,0.0232803362431
patient_01,Left Thalamic Radiation,20,66.0,0.7920700219,1.22347984523,0.25316116778,0.0865567618515,0.576365110234,0.441214714125,0.0999832961569
patient_01,Left Thalamic Radiation,21,74.0,0.790488095139,1.22777342119,0.255618816094,0.0813096429109,0.571845432112,0.447162645602,0.0300505907783
patient_01,Left Thalamic Radiation,22,71.0,0.78829024169,1.2312507548,0.258450261975,0.0875046582759,0.566809985136,0.453198969309,-0.176790371738
patient_01,Left Thalamic Radiation,23,70.0,0.784240474188,1.22765275828,0.259148321062,0.0977336129617,0.562534332143,0.455724716026,-0.278267710564
patient_01,Left Thalamic Radiation,24,67.0,0.778561722008,1.21734256164,0.257518610112,0.0906054233939,0.559171302192,0.454820834193,-0.283046394371
patient_01,Left Thalamic Radiation,25,69.0,0.773563639376,1.20924769754,0.256574660908,0.0769555764825,0.555721610296,0.455173939825,-0.278614608775
patient_01,Left Thalamic Radiation,26,69.0,0.770466824128,1.20720142624,0.257761266201,0.0733452337062,0.552099523072,0.458273583612,-0.285520388843
patient_01,Left Thalamic Radiation,27,67.0,0.77016705659,1.21236251837,0.261483842158,0.0721557814702,0.5490693257,0.463645163598,-0.300472784606
patient_01,Left Thalamic Radiation,28,73.0,0.77253313144,1.22579375076,0.268949993499,0.0706880609074,0.545902821777,0.472131610795,-0.226433458335
patient_01,Left Thalamic Radiation,29,67.0,0.775790978598,1.24343069652,0.278691545276,0.0709978305839,0.541971119638,0.482803480109,-0.182152896807
patient_01,Left Thalamic Radiation,30,67.0,0.779385499402,1.26131736696,0.288158726598,0.0666167979986,0.538419565621,0.493117882943,-0.148779095548
patient_01,Left Thalamic Radiation,31,75.0,0.783814819176,1.27812192046,0.295324701077,0.0625149736631,0.536661268532,0.501390662131,-0.0224174855971
patient_01,Left Thalamic Radiation,32,73.0,0.788776038194,1.29449950433,0.300562167643,0.0595776314572,0.535914305127,0.508455402285,-0.00695086675902
patient_01,Left Thalamic Radiation,33,70.0,0.794803129131,1.30939154984,0.302966886794,0.047372551593,0.537508918774,0.51264842524,-0.209519207179
patient_01,Left Thalamic Radiation,34,70.0,0.800537214175,1.32115288414,0.303617396344,0.0272915327455,0.540229379195,0.514615210335,-0.998352235071
patient_01,Left Thalamic Radiation,35,72.0,0.804707067667,1.33384884676,0.307061903033,0.0262859815512,0.540136178123,0.51905933159,-0.819005837876
patient_01,Left Thalamic Radiation,36,68.0,0.807234545001,1.34944269206,0.314671221781,0.0364603518085,0.536130471472,0.527615816207,-0.0888955214645
